,,,,,,,,,
Риск-факторы,,,,,,,,,
,,,,,,,,,
№,ГРУППА,UFR ID,ГРУППА,Short Name,Описание,Группа,Активируется при отсутствии UMF,Что искать в артефакте (Evidence),LLM Audit Prompt
49,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UFR-044,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",OPEN_ENDED_TOOLS,"Наличие open-ended инструментов (shell, eval, SQL concat)",TOOL,,"Tool definitions содержат open-ended инструменты: shell(command), eval(code), execute_sql(raw_query), run_script(script) — позволяют выполнить произвольную команду/код; нет whitelist разрешённых команд/операций. Ref: OWASP LLM08, CWE-78 (OS Command Injection), CWE-94 (Code Injection)","Найди в tool definitions все open-ended инструменты, которые принимают произвольные команды или код: shell/bash/exec, eval/execute, raw SQL, run_script, http_request (произвольный URL). Для каждого определи: (1) есть ли whitelist разрешённых команд/операций, (2) есть ли sandbox, (3) логируются ли вызовы."
50,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UFR-045,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",DYNAMIC_TOOL_LOADING,Динамическая загрузка инструментов / плагинов без integrity check,TOOL,,"Код: load_plugin(url) / importlib.import_module(dynamic_name) / require(user_provided_path) без hash verification, без signature check; нет allowlist одобренных источников; загруженный плагин получает доступ к runtime. Ref: OWASP LLM05 (Supply Chain), CWE-494 (Download Without Integrity Check)","Найди в коде все места динамической загрузки инструментов/плагинов. Определи: (1) откуда загружаются плагины (URL, path, registry), (2) проверяется ли hash/signature при загрузке, (3) есть ли allowlist одобренных источников, (4) какие привилегии получает загруженный плагин."
51,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UFR-046,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",DEBUG_TOOLS_IN_PROD,Debug-инструменты в production среде,TOOL,,"Deployment: debug endpoints (/debug, /admin, /test, /internal, /metrics без auth) доступны в production среде; debug tools включены в tool list LLM; verbose logging в production раскрывает internal state. Ref: OWASP LLM08, CWE-489 (Active Debug Code)","Проверь production deployment на наличие debug-артефактов: (1) debug endpoints (/debug, /admin, /test, /internal, /swagger, /graphql playground), (2) debug tools в списке инструментов LLM, (3) verbose/debug logging level в production, (4) exposed metrics endpoints без аутентификации."
52,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UFR-047,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UNVALIDATED_TOOL_PARAMS,Tool call params из LLM output без валидации по JSON Schema,TOOL,UMF-017,"Код: LLM генерирует tool_call с параметрами → параметры передаются в функцию напрямую без валидации по JSON Schema, без проверки типов, диапазонов, business rules; позволяет parameter injection и unexpected tool behavior. Ref: OWASP LLM01, OWASP LLM08, CWE-20","Проанализируй код обработки tool calls. Для каждого инструмента определи: (1) валидируются ли параметры по JSON Schema перед вызовом функции, (2) проверяются ли типы и диапазоны значений, (3) применяются ли business rules (например: amount < max_limit, email in allowed_domains), (4) что происходит при невалидных параметрах (ошибка или silent execution)."
53,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UFR-048,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UNVALIDATED_TOOL_CHAINS,Цепочки tool calls без валидации промежуточных результатов,TOOL,UMF-017,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
54,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UFR-049,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",TOOL_OUTPUT_AS_INSTRUCTION,"Tool output включается в контекст как инструкция, а не данные",TOOL,,"Код: результат tool call включается в messages[] как {role:'system'} или без специальной маркировки; модель обрабатывает tool output как системную инструкцию, а не как данные; позволяет indirect injection через tool output. Ref: OWASP LLM01 (Indirect Prompt Injection via Tool Output), OWASP LLM08","Проанализируй как результаты tool calls включаются в контекст. Для каждого инструмента определи: (1) в какой role помещается результат (system / tool / user), (2) маркируется ли результат как данные (не инструкция), (3) санитизируется ли tool output от injection patterns перед включением в контекст."
55,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UFR-050,"ИНСТРУМЕНТЫ (Tools & MCP) Риск-факторы и Меры применимы только, если есть тулы. В профиле нужно помечать, есть ли тулы в принципе",UNVERIFIED_MCP_SERVERS,Загрузка MCP-серверов без верификации / из непроверенных источников,TOOL,UMF-100,"Конфиг MCP: серверы загружаются по URL без проверки подписи; источник не в allow-list одобренных MCP-серверов; нет hash pinning; вредоносный MCP-сервер может подменить инструменты. Ref: OWASP LLM05, MCP Security specification","Проанализируй конфигурацию MCP-серверов. Для каждого MCP-сервера определи: (1) откуда загружается (URL, path), (2) проверяется ли подпись/hash при загрузке, (3) есть ли allow-list одобренных серверов, (4) может ли сервер быть подменён (MITM, DNS spoofing)."
59,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-053,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",CODE_INTERPRETER,Наличие code interpreter / auto-execute кода без sandbox,AGENT,,"Код: exec(llm_generated_code) / subprocess.run(llm_code) / code_interpreter.run() выполняется в основном контейнере без sandbox (gVisor, Firecracker, nsjail); сгенерированный код имеет доступ к файловой системе, сети, переменным среды хоста. Ref: OWASP LLM08, CWE-94 (Code Injection), MITRE ATLAS AML.T0049","Найди все места, где выполняется код, сгенерированный LLM. Определи: (1) используется ли sandbox (gVisor, Firecracker, nsjail, Docker-in-Docker), (2) выполняется ли код в основном контейнере приложения, (3) какой доступ имеет исполняемый код (файловая система, сеть, env vars, secrets), (4) есть ли timeout и resource limits для выполнения."
60,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-054,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",EVAL_EXEC_ON_LLM_OUTPUT,eval()/exec() на данных из LLM output; unsafe deserialization,AGENT,,"Код: eval(llm_response) / exec(llm_response) / pickle.loads(llm_data) / yaml.load(data, Loader=yaml.FullLoader) / json.loads() с custom deserializer — небезопасная десериализация данных из LLM output. Ref: CWE-502 (Deserialization of Untrusted Data), CWE-94","Найди в коде все вызовы eval(), exec(), pickle.loads(), yaml.load() (без SafeLoader), и custom deserializers. Для каждого определи: (1) приходят ли данные из LLM output, (2) валидируются ли данные перед десериализацией, (3) используется ли безопасная альтернатива (json.loads, safetensors, yaml.safe_load)."
61,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-055,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",CICD_TRIGGER_FROM_AGENT,CI/CD trigger от LLM-агента,AGENT,,"Код: LLM-агент может вызвать webhook / API endpoint, который запускает CI/CD pipeline (Jenkins, GitHub Actions, GitLab CI, ArgoCD); нет approval gate между решением агента и запуском pipeline. Ref: OWASP LLM08, CWE-862","Определи, может ли LLM-агент напрямую запускать CI/CD: (1) есть ли инструменты/webhooks для trigger CI/CD, (2) требуется ли human approval перед запуском, (3) какие pipelines может запустить агент (deploy, release, infrastructure change)."
62,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-056,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UNBOUNDED_AUTONOMOUS_LOOP,Агентный цикл без ограничения итераций / unbounded planning,AGENT,UMF-026,"Код агента: while True / for i in range(max_int) без max_iterations; planning loop без depth limit; ReAct/CoT loop без условия выхода; может привести к бесконечному выполнению и исчерпанию бюджета. Ref: OWASP LLM08, OWASP LLM10 (Model DoS), CWE-835 (Loop with Unreachable Exit)","Найди все агентные циклы (ReAct loop, planning loop, tool loop). Для каждого определи: (1) есть ли max_iterations / max_steps, (2) есть ли условие выхода помимо 'задача выполнена', (3) есть ли timeout на весь цикл, (4) есть ли budget/cost cap."
63,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-057,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",NO_KILL_SWITCH,Агентный runtime работает без механизма экстренной остановки (kill switch / circuit breaker),AGENT,UMF-027,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
64,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-058,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",AUTO_EXECUTE_HIGH_IMPACT,Авто-выполнение высокоимпактных действий без HITL,AGENT,UMF-021,"Код: high-impact actions (deploy, delete, payment, send_email, modify_infrastructure) выполняются автоматически по решению LLM без human approval, confirmation dialog, или require_approval flag; модель автономно совершает необратимые действия. Ref: OWASP LLM08, NIST AI RMF GOVERN 1.4","Найди все high-impact инструменты и определи для каждого: (1) выполняется ли действие автоматически или требуется подтверждение, (2) есть ли флаг require_approval / needs_confirmation, (3) показывается ли пользователю preview перед выполнением, (4) есть ли возможность rollback после выполнения."
65,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-059,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",NO_IMPACT_CLASSIFICATION,"Все действия агента обрабатываются с единым уровнем доверия, без градации по импакту",AGENT,UMF-022,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
66,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-060,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",NO_INTENT_VERIFICATION,Действия агента исполняются без предварительной верификации намерения (intent verification),AGENT,UMF-025,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
67,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-061,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",RETRY_WITHOUT_BACKOFF,Retry без backoff / бесконечное ожидание / продолжение при ошибках,AGENT,UMF-029,"Код: retry logic без exponential backoff (fixed delay или no delay); while not success без max_retries; timeout не установлен на LLM call; catch Exception: continue (глушение ошибок и продолжение). Ref: OWASP LLM10, CWE-400, связан с looping behavior","Найди все retry-логику для LLM-вызовов и tool calls. Определи: (1) используется ли exponential backoff, (2) есть ли max_retries, (3) установлен ли timeout на каждый вызов, (4) обрабатываются ли ошибки корректно или глушатся (catch all → continue)."
68,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-062,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",EXCESSIVE_TOOL_CALLS,Агент вызывает инструменты без ограничения частоты (rate limit) и без фильтрации по релевантности задаче,AGENT,UMF-028,"Код: агент вызывает инструменты без rate_limit() / без проверки relevance score перед вызовом; может вызвать N инструментов за один step; нет бюджетного ограничения на tool calls per session. Ref: OWASP LLM08, OWASP LLM10","Проанализируй как агент вызывает инструменты. Определи: (1) есть ли rate limit на количество tool calls за step / за сессию, (2) проверяется ли релевантность инструмента задаче перед вызовом, (3) есть ли бюджетное ограничение (max tool calls per session), (4) логируется ли каждый tool call."
69,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-063,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UNAUTHENTICATED_INTER_AGENT,Межагентные сообщения передаются по каналу без проверки идентичности отправителя и без шифрования,AGENT,UMF-045,"Код: межагентные сообщения передаются по HTTP/gRPC без mTLS; нет проверки идентичности отправителя (sender authentication); канал plaintext (без шифрования); позволяет spoofing и MitM. Ref: OWASP LLM08, CWE-319 (Cleartext Transmission), CWE-287","Проанализируй каналы коммуникации между агентами. Для каждого канала определи: (1) используется ли TLS/mTLS, (2) аутентифицируется ли отправитель (per-message auth, agent_id verification), (3) подписываются ли сообщения, (4) может ли сторонний агент подменить отправителя."
70,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-064,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",PRIVILEGE_INHERITANCE_MULTI_AGENT,Наследование / эскалация привилегий в multi-agent системе,AGENT,UMF-044,"Код: дочерний/делегированный агент наследует полные привилегии родительского (child.permissions = parent.permissions / child.tools = parent.tools); нет privilege downgrade при делегировании; эскалация через цепочку делегаций. Ref: OWASP LLM08, CWE-250, CWE-269 (Improper Privilege Management)","Проанализируй механизм делегирования задач между агентами. Определи: (1) как назначаются привилегии дочернему агенту (наследование / explicit assignment), (2) есть ли privilege downgrade при делегировании, (3) может ли цепочка делегаций привести к эскалации привилегий, (4) соблюдается ли principle of least privilege."
71,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-065,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",NL_INTER_AGENT_MSG,Передача естественноязыковых инструкций между агентами вместо структурированного формата,AGENT,UMF-047,"Код: agent_A.send(agent_B, message=natural_language_string) — передача инструкций между агентами в виде естественного языка вместо structured JSON Schema / protobuf; позволяет injection через NL-канал. Ref: OWASP LLM01 (Indirect Injection via Agent Communication)","Проанализируй формат межагентных сообщений. Определи: (1) используется ли структурированный формат (JSON Schema, protobuf, typed messages), (2) передаются ли инструкции в виде natural language строк, (3) валидируется ли формат сообщений при приёме, (4) может ли злоумышленник внедрить инструкции через NL-канал."
72,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-066,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",CASCADING_UNVALIDATED_PIPELINE,Каскадная передача через N агентов без промежуточной валидации,AGENT,UMF-047,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
73,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-067,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",SHARED_STATE_UNRESTRICTED,Общая разделяемая память / контекст между агентами без изоляции записи,AGENT,UMF-049,"Код: shared_state / shared_memory = {} доступен всем агентам на чтение и запись; нет write lock, нет owner check, нет validation gateway; один агент может перезаписать данные другого или отравить shared state. Ref: OWASP LLM08, CWE-362 (Race Condition), CWE-284","Проанализируй shared state между агентами. Определи: (1) есть ли общая память/контекст, доступная нескольким агентам, (2) есть ли write lock / mutex, (3) проверяется ли owner/agent_id при записи, (4) валидируется ли контент при записи через gateway, (5) может ли один агент перезаписать данные другого."
74,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-068,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",DYNAMIC_AGENT_SPAWN,Динамическое создание агентов / дочерних агентов без контроля,AGENT,,"Код: Agent.spawn(config) / create_agent(params) вызывается динамически; нет лимита на количество дочерних агентов; нет approval process для создания; может привести к неконтролируемой proliferation и resource exhaustion. Ref: OWASP LLM08, OWASP LLM10, CWE-400","Найди в коде все места динамического создания агентов. Определи: (1) есть ли лимит на количество одновременных агентов, (2) требуется ли approval для создания, (3) какие привилегии получает новый агент, (4) есть ли lifecycle management (auto-terminate, TTL)."
75,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",UFR-069,"КОД, АВТОНОМНОСТЬ, АГЕНТЫ (Execution, Autonomy & Multi-Agent)",ORCHESTRATOR_SUPERUSER,Оркестратор с суперпривилегиями / все агенты в одном процессе,AGENT,UMF-041,"Код: оркестратор работает с admin/root credentials; все агенты запущены в одном процессе/контейнере без isolation; компрометация одного агента = компрометация всей системы. Ref: OWASP LLM08, CWE-250, defense in depth principle","Проанализируй привилегии оркестратора и изоляцию агентов. Определи: (1) с какими credentials работает оркестратор (admin/root/service account), (2) работают ли агенты в отдельных процессах/контейнерах или в одном, (3) есть ли blast radius limitation при компрометации одного агента."
77,ВЫВОД (Output Surface),UFR-070,ВЫВОД (Output Surface),RAW_OUTPUT_TO_USER,Прямая трансляция ответа LLM пользователю без фильтрации,OUT,UMF-011,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
78,ВЫВОД (Output Surface),UFR-071,ВЫВОД (Output Surface),UNSAFE_OUTPUT_RENDER,Рендеринг HTML/Markdown в ответе LLM без экранирования спецсимволов,OUT,UMF-012,"Код: render(llm_output) / innerHTML = llm_response без вызова html.escape() / DOMPurify.sanitize(); Markdown rendered без sanitization; нет Content-Security-Policy header; позволяет XSS через LLM-generated content. Ref: OWASP LLM02 (Insecure Output Handling), CWE-79 (XSS)","Найди все места рендеринга LLM output в UI. Определи: (1) используется ли html.escape() / DOMPurify перед рендерингом, (2) рендерится ли Markdown и если да — sanitized ли он, (3) установлен ли Content-Security-Policy header, (4) может ли LLM output содержать <script>, <img onerror>, <a onclick> и другие XSS vectors."
79,ВЫВОД (Output Surface),UFR-072,ВЫВОД (Output Surface),UNVALIDATED_DOWNSTREAM,Передача вывода LLM в downstream-системы без валидации,OUT,UMF-011,"Код: llm_output → db.execute(llm_sql) / api.call(llm_params) / file.write(llm_content) / os.system(llm_command) без предварительной валидации output по schema; LLM output трактуется как trusted input для downstream систем. Ref: OWASP LLM02, CWE-74 (Injection), CWE-89 (SQL Injection)","Найди все места, где LLM output передаётся в downstream системы. Для каждого определи: (1) куда передаётся (DB, API, файл, OS command, email), (2) валидируется ли output по schema перед передачей, (3) используется ли parameterized query / prepared statement для DB, (4) может ли вредоносный LLM output вызвать injection в downstream системе."
80,ВЫВОД (Output Surface),UFR-073,ВЫВОД (Output Surface),UNVALIDATED_GENERATED_URLS,URL/API endpoints в ответах LLM передаются пользователю без проверки существования и доступности,OUT,UMF-094,"Код: URL в LLM response передаётся пользователю или используется для fetch без проверки существования домена (dns resolve), без проверки в URL reputation list; LLM может галлюцинировать URL, ведущий на фишинговый или malware сайт. Ref: OWASP LLM02, OWASP LLM09, связан с slopsquatting","Найди все места, где URL из LLM output обрабатываются. Определи: (1) проверяется ли существование домена (DNS resolve), (2) проверяется ли URL по reputation/blocklist, (3) отображается ли URL пользователю или автоматически открывается/fetched, (4) есть ли sandbox/preview для ссылок."
81,ВЫВОД (Output Surface),UFR-074,ВЫВОД (Output Surface),UNMARKED_AI_OUTPUT,AI-контент передаётся без маркировки / без disclosure,OUT,UMF-064,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
82,ВЫВОД (Output Surface),UFR-075,ВЫВОД (Output Surface),NO_CONFIDENCE_SIGNAL,"Ответы LLM передаются пользователю с единообразным оформлением, без индикатора уверенности модели",OUT,UMF-065,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
83,ВЫВОД (Output Surface),UFR-076,ВЫВОД (Output Surface),OVERRELIANCE_UX,UI/UX дизайн провоцирующий overreliance / auto-accept без friction,OUT,UMF-066,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
84,ВЫВОД (Output Surface),UFR-077,ВЫВОД (Output Surface),CRITICAL_DECISIONS_NO_HUMAN,"Автоматическое принятие критичных решений (медицина, финансы, юриспруденция) с прямой передачей пользователю без human review",OUT,UMF-021,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
85,ВЫВОД (Output Surface),UFR-078,ВЫВОД (Output Surface),SYNTHETIC_PERSONA_IMPERSONATION,Генерация контента от имени реальных лиц,OUT,UMF-068,"Код/промпт: LLM генерирует контент от имени конкретного реального лица (подпись, стиль, мнение attributed to a real person); нет impersonation guard / attribution check в output pipeline. Ref: OWASP LLM09 (Misinformation), EU AI Act Art. 50 (transparency obligations)","Проанализируй может ли система генерировать контент от имени реальных лиц. Определи: (1) есть ли в промптах или функционале генерация от имени конкретных людей, (2) есть ли impersonation detection в output pipeline, (3) маркируется ли AI-generated контент как синтетический."
86,ВЫВОД (Output Surface),UFR-079,ВЫВОД (Output Surface),NO_FACTCHECK_PIPELINE,Ответы LLM передаются пользователю / в downstream без промежуточной верификации фактов,OUT,UMF-036,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
88,ВЫВОД (Output Surface),UFR-081,ВЫВОД (Output Surface),PROMPT_INJECTION_BYPASSES_SAFETY,Safety-фильтры на выводе LLM применяются без защиты от обхода через prompt injection (одноуровневая фильтрация),OUT,UMF-093,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
90,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",UFR-082,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",SHARED_WIDE_API_KEY,Единый API-ключ с широкими правами / общие credentials,INFRA,UMF-041,"Конфиг: один API_KEY / token с admin/write scope используется для всех LLM операций; shared credentials между несколькими сервисами; нет per-tool / per-function API keys; компрометация одного ключа даёт доступ ко всем операциям. Ref: OWASP LLM08, CWE-798, CWE-250, principle of least privilege","Проанализируй использование API-ключей и credentials. Определи: (1) сколько API-ключей используется (один для всего или раздельные), (2) какие scopes/permissions у каждого ключа, (3) используются ли shared credentials между сервисами, (4) соблюдается ли principle of least privilege для каждого ключа."
91,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",UFR-083,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",EXCESSIVE_DB_PRIVILEGES,Доступ LLM к БД с избыточными привилегиями / без row-level security,INFRA,UMF-042,"Конфиг DB: LLM service account имеет роль db_owner / SUPERUSER / ALL PRIVILEGES; нет row-level security (RLS); SELECT * без WHERE user_id = current_user; LLM может читать/изменять данные любого пользователя. Ref: OWASP LLM06, OWASP LLM08, CWE-250, CWE-862","Проанализируй привилегии DB-аккаунта LLM-сервиса. Определи: (1) какая роль (SUPERUSER, db_owner, read-only, custom), (2) включена ли row-level security, (3) фильтруются ли запросы по user_id/tenant_id, (4) может ли LLM прочитать/изменить данные другого пользователя."
92,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",UFR-084,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",EXCESSIVE_OAUTH_SCOPES,OAuth scopes шире необходимого,INFRA,,"OAuth config: scope включает permissions шире необходимых для задачи (write, delete, admin, manage при необходимости только read); излишне широкий scope увеличивает blast radius при компрометации. Ref: OWASP LLM08, CWE-250, OAuth 2.0 Security Best Practices (RFC 6819)","Проанализируй OAuth scopes для всех интеграций. Для каждой определи: (1) какие scopes запрошены, (2) какие scopes реально необходимы для функционала, (3) есть ли избыточные permissions (write/delete/admin при необходимости read)."
93,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",UFR-085,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",SERVICE_ACCOUNT_WIDE,Сервисный аккаунт с широкими правами,INFRA,,"IAM / service account: роль с широкими правами (Editor, Admin, Owner) вместо custom role с минимальными необходимыми permissions; не соблюдается principle of least privilege. Ref: OWASP LLM08, CWE-250, NIST SP 800-53 AC-6","Проанализируй IAM роли и service accounts. Для каждого определи: (1) какая роль назначена (predefined broad role vs custom minimal), (2) какие permissions реально используются, (3) можно ли сузить роль без потери функциональности."
94,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",UFR-086,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",SECRETS_IN_ENV_PLAIN,Секреты в ENV / config / docker-compose / .env в открытом виде,INFRA,,"Файлы: .env, docker-compose.yml, config.yaml, appsettings.json содержат пароли, API-ключи, connection strings в plaintext; нет ссылок на secrets manager (Vault, AWS SM, GCP SM); секреты могут попасть в git history / Docker image. Ref: CWE-798, CWE-312 (Cleartext Storage), OWASP LLM06","Проверь файлы конфигурации на наличие секретов в plaintext: .env, docker-compose.yml, config.yaml, appsettings.json, terraform.tfvars, helm values. Найди: (1) API-ключи, пароли, токены в открытом виде, (2) connection strings с credentials, (3) проверь, используется ли secrets manager (Vault, AWS Secrets Manager, GCP Secret Manager), (4) проверь git history на committed secrets."
96,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",UFR-088,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",UNRESTRICTED_EGRESS,Неограниченный исходящий сетевой трафик (egress без whitelist),INFRA,UMF-055,→ Вычисляется автоматически (см. колонку G),→ Вычисляется автоматически (см. колонку G)
101,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",UFR-093,"ПРИВИЛЕГИИ И ИНФРАСТРУКТУРА (Privileges, Infra & Supply Chain)",DATA_SENT_TO_PROVIDER,Отправка данных пользователей в API внешнего провайдера,INFRA,,"Код: requests.post(provider_api_url, json={'messages': [{...user_data...}]}) — PII, конфиденциальные документы, внутренние данные отправляются в API внешнего LLM-провайдера; данные могут использоваться для training; нет PII masking перед отправкой. Ref: OWASP LLM06, GDPR Art. 28 (Data Processing), NIST AI RMF GOVERN 1.6","Проанализируй какие данные отправляются к LLM-провайдеру. Определи: (1) содержат ли промпты PII / конфиденциальные данные, (2) выполняется ли PII masking/anonymization перед отправкой, (3) включён ли opt-out из training у провайдера, (4) где geographic location провайдера (для compliance с GDPR, локализацией данных)."
