,,,,,,,,
Группа,TTT,ГРУППА,UMF ID,Short Name,Описание,Группа,При отсутствии активирует UFR,Evidence — что искать
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-022,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),IMPACT_CLASSIFICATION,Классификация действий по уровню импакта с routing,"AGENCY:MF-10, AGENCY:MF-14, DISINFO:MF-07, HALL:MF-14, KNOW:MF-15",UFR-059,Код / конфиг: каждое действие классифицировано по impact (low/medium/high/critical); routing по уровню; документирована матрица. Ref: OWASP LLM08,"Найди классификацию действий: (1) impact level для каждого, (2) routing (auto/log/HITL/block), (3) документация матрицы."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-023,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),DRY_RUN_PREVIEW,Dry-run / preview mode для деструктивных операций,"GH_RCE:MF-22, AGENCY:MF-14",,Код: dry-run / preview для деструктивных операций; пользователю показывается что будет сделано. Ref: OWASP LLM08,"Найди dry-run / preview: (1) preview mode для high-impact, (2) отображение 'что будет сделано', (3) возможность отмены."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-024,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),ROLLBACK_MECHANISM,Механизм rollback для каскадных действий,"AGENCY:MF-15, HALL:MF-25",,"Код: rollback для каскадных действий — transaction, undo, restore; откат при ошибке в середине цепочки. Ref: OWASP LLM08","Найди rollback механизм: (1) transaction / undo, (2) atomicity multi-step, (3) поведение при ошибке в середине цепочки."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-026,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),ITERATION_LIMIT,Max iterations для агентных циклов / planning loop,"GH_RCE:MF-17, AGENCY:MF-12, HALL:MF-15",,"Код: max_iterations для агентных циклов; timeout на весь цикл; depth limit для planning; graceful exit. Ref: OWASP LLM08, OWASP LLM10, CWE-835","Найди агентные циклы и проверь: (1) max_iterations, (2) timeout, (3) depth limit, (4) graceful exit при лимите."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-027,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),KILL_SWITCH_CIRCUIT_BREAKER,"Kill switch, circuit breaker, emergency stop","GH_RCE:MF-18, AGENCY:MF-13, HALL:MF-17, MULTI:MF-25, MULTI:MF-27, SUPPLY:MF-35",UFR-057,Код / инфра: kill switch — немедленная остановка; circuit breaker с порогом ошибок; emergency stop endpoint; auto-shutdown при anomaly. Ref: OWASP LLM08,"Найди kill switch / circuit breaker: (1) endpoint остановки, (2) порог ошибок, (3) auto-shutdown при anomaly, (4) регулярное тестирование."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-028,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),SESSION_BUDGET_CAP,Budget/cost/token cap на session; rate limiting tool calls,"HALL:MF-20, AGENCY:MF-19, DISINFO:MF-08, MULTI:MF-26",UFR-103,"Код: budget cap (max tokens, max cost, max tool calls) на session; rate limit tool calls; graceful stop. Ref: OWASP LLM10","Найди бюджетные ограничения: (1) max tokens/cost per session, (2) rate limit tool calls, (3) действие при превышении, (4) уведомление пользователя."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-029,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),EXPONENTIAL_BACKOFF,Exponential backoff с max retries; LLM call timeout,"HALL:MF-18, HALL:MF-16",,Код: exponential backoff (delay = base * 2^attempt); max_retries; timeout на LLM call; fail с информативной ошибкой. Ref: OWASP LLM10,"Найди retry-логику: (1) exponential backoff, (2) max_retries, (3) timeout на call, (4) действие при исчерпании retries."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-030,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),REPETITION_DETECTION,Детекция repetition / self-referential patterns,HALL:MF-19,,Код: детектор повторений / self-referential patterns; при loop — alert + break + fallback. Ref: OWASP LLM09,"Найди детекцию зацикливания: (1) обнаружение повторяющихся фраз/блоков, (2) self-referential patterns, (3) действие (break, alert, fallback)."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-091,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),GOAL_DRIFT_DETECTION,Поведенческий мониторинг goal drift,GH_RCE:MF-06,,Код: мониторинг goal drift — сравнение текущего action с исходной задачей; alert + pause + HITL при отклонении; behavioural baseline. Ref: OWASP LLM08,"Найди мониторинг goal drift: (1) сравнение с исходной задачей, (2) порог отклонения, (3) действие при drift, (4) behavioural baseline."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-044,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),MULTI_AGENT_TRUST_BOUNDARY,Trust boundary между агентами; privilege downgrade,"AGENCY:MF-09, GH_RCE:MF-15, MULTI:MF-17, SUPPLY:MF-34",,"Код: trust boundary per agent; privilege downgrade при делегировании; explicit permission grant. Ref: OWASP LLM08, CWE-250","Проанализируй trust boundaries: (1) scope per agent, (2) privilege downgrade при делегировании, (3) explicit grant вместо inheritance."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-045,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),CRYPTO_AGENT_IDENTITY,Криптографическая идентичность агента; per-message auth; mTLS,"MULTI:MF-01, MULTI:MF-02, MULTI:MF-08, SUPPLY:MF-32",,"Код: криптографическая идентичность агента (certificate, key pair); per-message auth; mTLS. Ref: OWASP LLM08, CWE-287","Проверь аутентификацию агентов: (1) crypto identity, (2) подпись сообщений, (3) mTLS, (4) невозможность spoofing."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-046,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),STATIC_AGENT_REGISTRY,Реестр агентов с фиксированными ролями и capabilities,MULTI:MF-03,,Конфиг: реестр агентов с фиксированными ролями и capabilities; immutable после deploy; runtime проверка. Ref: OWASP LLM08,"Найди реестр агентов: (1) фиксированные роли и capabilities, (2) immutable после deploy, (3) runtime проверка соответствия."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-047,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),INTER_AGENT_OUTPUT_GATE,Output gate: валидация вывода перед передачей; injection detection,"MULTI:MF-09, MULTI:MF-10, MULTI:MF-11, MULTI:MF-12, MULTI:MF-13",UFR-066,"Код: output gate между агентами — валидация + injection detection + schema validation. Ref: OWASP LLM01, OWASP LLM08","Найди output gate между агентами: (1) валидация вывода, (2) injection detection, (3) schema validation межагентных сообщений."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-048,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),CONTEXT_GROUNDING_TASK_ANCHOR,Context grounding: якорение сессии на исходную задачу,"MULTI:MF-04, MULTI:MF-14",,Код: context grounding — anchor к исходной задаче в каждом LLM call; task description в system prompt на каждом шаге; redirect при drift. Ref: OWASP LLM08,"Проверь context grounding: (1) ссылка на исходную задачу в каждом call, (2) task description на каждом шаге, (3) redirect при drift."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-049,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),STATE_WRITE_GATEWAY,Shared state с записью через валидирующий gateway; memory controls,"MULTI:MF-30, MULTI:MF-38",,"Код: shared state через validating gateway; owner/agent_id check; content validation; TTL, max entries, scope isolation. Ref: OWASP LLM08, CWE-284","Найди shared state controls: (1) validating gateway, (2) owner check, (3) content validation, (4) TTL, max entries, scope isolation."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-050,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),OUTPUT_TRIMMER_NO_COT,Output trimmer: передача только финального результата без CoT,MULTI:MF-20,,Код: output trimmer — передача только финального результата без CoT/scratchpad/reasoning. Ref: OWASP LLM06,"Проверь output trimmer: (1) отрезается ли CoT/scratchpad, (2) передаётся ли только результат, (3) нет утечки reasoning в output."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-088,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),INTER_AGENT_VERIFICATION,Промежуточная верификация / consensus между агентами,"DISINFO:MF-10, DISINFO:MF-11, HALL:MF-21, HALL:MF-23",,Код: consensus / cross-check / independent verification между агентами; escalation при disagreement. Ref: NIST AI RMF MAP 2.3,"Проверь промежуточную верификацию: (1) consensus/voting, (2) cross-check, (3) действие при disagreement."
УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),UMF-099,УПРАВЛЕНИЕ АВТОНОМНОСТЬЮ (Autonomy & Agent Controls),,,,,"Конфиг: model selector = allow-list одобренных моделей; model card для каждой; нет произвольного ввода. Ref: OWASP LLM05, NIST AI RMF MAP 2.1","Проверь управление выбором модели: (1) allow-list, (2) model card для каждой, (3) нет произвольного ввода имени модели."
ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),UMF-041,ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),LEAST_PRIVILEGE_KEYS,Раздельные API-ключи / credentials с минимальными правами; per-tool,"DPI:MF-14, LEAK:MF-11, AGENCY:MF-05, IPI:MF-20, MULTI:MF-16, SUPPLY:MF-13",,"Конфиг: раздельные API-ключи per tool; минимальные permissions; ротация; нет shared credentials. Ref: OWASP LLM08, CWE-250","Проверь API-ключи: (1) раздельные per tool, (2) минимальные permissions, (3) ротация, (4) нет shared credentials."
ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),UMF-042,ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),USER_CONTEXT_EXECUTION,Исполнение в контексте пользователя; row-level security,"AGENCY:MF-06, AGENCY:MF-07, AGENCY:MF-08",,"Код: операции в контексте пользователя (user_id); row-level security; фильтрация по permissions. Ref: OWASP LLM06, CWE-862","Проверь user context execution: (1) user_id в запросах к DB, (2) row-level security, (3) фильтрация по permissions."
ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),UMF-043,ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),SESSION_ISOLATION,Изоляция сессий пользователей / user_id scoping,LEAK:MF-20,,"Код: изоляция сессий per user_id; отдельный context, memory, state; нет cross-session leakage. Ref: CWE-200","Проверь изоляцию сессий: (1) отдельный context per user_id, (2) нет cross-session leakage, (3) scope в vector store и memory."
ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),UMF-055,ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),NETWORK_ISOLATION,Сетевая изоляция / egress whitelist / DNS-фильтрация,"DPI:MF-20, GH_RCE:MF-27, IPI:MF-25, IPI:MF-26, AGENCY:MF-24, SUPPLY:MF-10, MULTI:MF-29, MULTI:MF-37",UFR-088,"K8s / Docker: NetworkPolicy с egress ограничениями; whitelist доменов; DNS-фильтрация; блокировка metadata (169.254.169.254). Ref: CWE-918, NIST SP 800-190","Проверь сетевую изоляцию: (1) NetworkPolicy egress, (2) whitelist доменов, (3) блокировка metadata endpoint, (4) DNS-фильтрация."
ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),UMF-056,ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),SECRETS_MANAGER,Secrets manager; изоляция от code interpreter; авто-ротация,"DPI:MF-19, GH_RCE:MF-29, LEAK:MF-13, SUPPLY:MF-06, SUPPLY:MF-27, AGENCY:MF-27, IPI:MF-28, MULTI:MF-36","UFR-086, UFR-014","Код / инфра: secrets в manager (Vault, AWS SM); изолированы от code interpreter; авто-ротация; audit log. Ref: CWE-798, CWE-312","Проверь secrets management: (1) secrets manager, (2) изоляция от sandbox, (3) авто-ротация, (4) audit log доступа."
ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),UMF-102,ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),MANDATORY_TLS,TLS 1.2+ для всех соединений,LEAK:MF-16,,"Код / конфиг: TLS 1.2+ для всех соединений (LLM API, DB, inter-service, MCP); certificate validation; нет verify=False. Ref: CWE-319, OWASP ASVS V9","Проверь TLS: (1) TLS 1.2+ для всех endpoints, (2) certificate validation (нет verify=False), (3) нет plaintext каналов."
ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),UMF-079,ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),PINNED_DEPS_SCA,Фиксация зависимостей с lock-файлом; SCA; SBOM,"SUPPLY:MF-01, SUPPLY:MF-02, SUPPLY:MF-03, SUPPLY:MF-25",,"Файлы: pinned versions (==, lock); SCA в CI (Snyk, safety, npm audit); SBOM; CVE tracking. Ref: OWASP LLM05, CWE-1104","Проверь зависимости: (1) pinned versions и lock file, (2) SCA в CI, (3) SBOM, (4) CVE tracking."
ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),UMF-080,ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),MODEL_HASH_VERIFICATION,Проверка hash модели при загрузке; RBAC для registry,"SUPPLY:MF-04, SUPPLY:MF-20, SUPPLY:MF-24",UFR-100,"Код: verify_hash() при загрузке модели; trusted registry; RBAC для model registry. Ref: OWASP LLM05, CWE-494, MITRE ATLAS AML.T0047","Проверь загрузку моделей: (1) hash verification, (2) trusted registry, (3) RBAC для registry."
ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),UMF-083,ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),CICD_ARTIFACT_SIGNING,Подпись артефактов CI/CD (SLSA/Sigstore); protected secrets,"SUPPLY:MF-18, SUPPLY:MF-29",,"CI: артефакты подписаны (cosign, Sigstore); SLSA provenance; prod secrets под branch protection. Ref: SLSA, OWASP LLM05","Проверь CI/CD security: (1) подпись артефактов, (2) SLSA provenance, (3) branch protection для secrets, (4) approval gates."
ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),UMF-085,ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),PRIVATE_REGISTRY_MIRROR,Приватный proxy-реестр для pip/npm,SUPPLY:MF-26,,"Инфра: приватный proxy-реестр (Artifactory, Nexus) для pip/npm; блокировка непроверенных пакетов; typosquatting protection. Ref: OWASP LLM05","Проверь private registry: (1) proxy для pip/npm, (2) блокировка непроверенных, (3) typosquatting protection."
ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),UMF-086,ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),PLUGIN_AUDIT_PROCESS,Процесс аудита плагинов / MCP-серверов,SUPPLY:MF-12,,"Документация: процесс аудита плагинов/MCP — code review, security scan, sandbox test; approval trail. Ref: OWASP LLM05, MCP Security","Проверь аудит плагинов: (1) процесс review, (2) code review + security scan, (3) sandbox test, (4) approval trail."
ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),UMF-087,ИНФРАСТРУКТУРНАЯ ЗАЩИТА (Infrastructure & Supply Chain),,,,,"Код / конфиг: debug endpoints отключены в production; debug tools удалены; logging ≠ DEBUG; metrics с auth. Ref: CWE-489, OWASP LLM08","Проверь отсутствие debug в production: (1) debug endpoints отключены, (2) debug tools удалены, (3) logging level не DEBUG, (4) metrics с auth."
"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",UMF-059,"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",LLM_AUDIT_LOGGING,Логирование всех запросов/ответов LLM с метаданными,"DPI:MF-15, LEAK:MF-17, GH_RCE:MF-23, AGENCY:MF-20, DISINFO:MF-12, TOXIC:MF-10, MULTI:MF-31",UFR-102,"Код: все LLM запросы/ответы логируются с метаданными (timestamp, user_id, model, tokens, latency); structured JSON; PII masking; retention policy. Ref: OWASP LLM06, NIST AI RMF GOVERN 1.5","Найди логирование LLM-вызовов: (1) все запросы и ответы, (2) метаданные (timestamp, user_id, model, tokens), (3) structured JSON, (4) PII masking, (5) retention policy."
"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",UMF-060,"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",ANOMALY_DETECTION_ALERTING,Anomaly detection на tool calls / injection / token anomalies,"DPI:MF-16, GH_RCE:MF-24, AGENCY:MF-21, AGENCY:MF-22, HALL:MF-27, IPI:MF-22, MULTI:MF-33, TOXIC:MF-11",,"Код / инфра: anomaly detection — tool call spikes, injection attempts, token anomalies; alerting (PagerDuty, Slack). Ref: NIST AI RMF MANAGE 2.4","Найди anomaly detection: (1) мониторинг паттернов (tool calls, injection, tokens), (2) alerting, (3) каналы notification."
"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",UMF-061,"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",DISTRIBUTED_TRACING,Distributed tracing (OpenTelemetry) / chain observability,"HALL:MF-24, MULTI:MF-32",,"Код: distributed tracing (OpenTelemetry, Jaeger); полная цепочка request→LLM→tools→response; trace_id. Ref: NIST AI RMF MANAGE 2.4","Проверь distributed tracing: (1) OpenTelemetry/Jaeger, (2) полная цепочка, (3) trace_id через все компоненты."
"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",UMF-062,"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",HALLUCINATION_MONITORING,Мониторинг метрик hallucination rate в production,"HALL:MF-26, KNOW:MF-19",,"Код / инфра: мониторинг hallucination rate — grounding score, factual accuracy; dashboard; alerting при деградации. Ref: OWASP LLM09","Проверь мониторинг галлюцинаций: (1) grounding score / factual accuracy, (2) dashboard, (3) alerting при деградации."
"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",UMF-063,"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",CANARY_DOCUMENTS,Canary-документы / canary prompts для обнаружения нарушений,"GH_RCE:MF-26, IPI:MF-24",,Конфиг: canary-документы в RAG с маркером; canary prompts; alert при появлении canary в output. Ref: honeytoken practices,"Проверь canary механизмы: (1) canary-документы в RAG, (2) регулярное тестирование, (3) alert при обнаружении canary в output."
"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",UMF-067,"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",USER_FEEDBACK_LOOP,Механизм обратной связи от пользователей с escalation,"DISINFO:MF-19, HALL:MF-28, KNOW:MF-24, TOXIC:MF-20",,"UI: feedback (thumbs, report, form); escalation workflow; feedback → improvement pipeline. Ref: NIST AI RMF MANAGE 3.1","Проверь feedback: (1) UI элемент (thumbs, report), (2) escalation workflow, (3) использование для улучшения."
"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",UMF-069,"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",ADVERSARIAL_CI_TESTS,Adversarial / red team тесты в CI/CD pipeline,"DPI:MF-17, GH_RCE:MF-25, IPI:MF-23, DISINFO:MF-16, HALL:MF-34, TOXIC:MF-12, MULTI:MF-34, LEAK:MF-22",UFR-104,"CI: adversarial тесты (injection, jailbreak, bias probes, safety boundaries); red team. Ref: NIST AI RMF MANAGE 4.1","Проверь adversarial testing: (1) injection/jailbreak тесты в CI, (2) bias probes, (3) safety boundary tests, (4) red team."
"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",UMF-071,"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",DOCUMENTED_GOALS_ACTIONS,"Документированные allowed goals, actions, autonomy boundaries","GH_RCE:MF-30, AGENCY:MF-28, AGENCY:MF-29, AGENCY:MF-30",UFR-106,"Документация: allowed goals, actions, autonomy boundaries per agent; матрица агент×действие→allow/deny/HITL; версионирование. Ref: OWASP LLM08, NIST AI RMF GOVERN 1.4","Найди документацию autonomy: (1) allowed goals per agent, (2) матрица агент×действие, (3) версионирование, (4) соответствие реальной конфигурации."
"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",UMF-076,"GOVERNANCE И МОНИТОРИНГ (Governance, Monitoring & Process)",EVAL_BENCHMARK_SUITE,Evaluation-бенчмарки; regression testing при обновлении модели,"KNOW:MF-14, KNOW:MF-18, HALL:MF-33",,"CI: evaluation benchmark при обновлении модели/промпта; regression testing (accuracy, safety, bias, latency); деградация блокирует deploy. Ref: NIST AI RMF MANAGE 2.2","Проверь evaluation: (1) benchmark suite, (2) запуск при обновлении, (3) safety/bias/accuracy тесты, (4) блокировка deploy при деградации."
